id,year,african_american,asian,hispanic,white,native,male,female
1000050,2017,11.5,2.3,28,52.2,0,49.7,50.3
1000039,2017,5.2,4.4,7.2,78.7,0,52.3,47.7
1000310,2017,4.7,7.9,29.3,55.4,0,51,49
1000055,2017,8.5,0.3,21.5,67.4,0.2,49.7,50.3
4780505,2017,0.5,1.5,2.8,91.6,0,45.6,54.2
1010040,2017,0.6,3.7,1.7,92.9,0,52.8,47.2
1010035,2017,1.5,1.5,4.8,90.4,0.4,53.3,46.7
1010012,2017,1.5,3.9,0.7,91.8,0,53.8,46.2
1010405,2017,1.3,7.7,2.1,86.9,0.2,47.2,52.8
1010013,2017,0.8,7.8,2.8,86.1,0,51.7,48.3
1010010,2017,2.4,7.9,1.2,86.6,0,54.7,45.3
1010030,2017,1,4.4,4.8,86.7,0.2,53.3,46.7
1010032,2017,3.8,6.6,2.7,84.4,0.3,52.3,47.7
1010310,2017,1.5,5,3.7,87.4,0.2,52,48
6650002,2017,2.2,1,0.2,93.8,0.2,52,48
6650001,2017,1,0.3,1.5,96.5,0,51,49
6650305,2017,0.7,0.9,1.8,94.7,0.3,49.9,50.1
6650015,2017,1.7,0.6,0.8,94.9,0.4,47.8,52.2
6700505,2017,1.3,3.1,4.4,88.4,0,54,46
1030001,2017,2.4,1,17.3,68.6,0.2,55.8,44.2
1030505,2017,2.7,2.1,12.5,78.5,0.4,53.6,46.4
1030405,2017,2.6,1.8,15.2,70,0.2,49.4,50.6
6720059,2017,1.7,0,3.4,91.4,1.7,53.4,46.6
6720405,2017,0,0.5,5.8,91.8,0.5,57.2,42.8
6720143,2017,1.3,0,3.7,91.9,0,53.2,46.8
1050305,2017,0.4,1.3,0.4,97,0,54.1,45.9
1050010,2017,1.1,1.1,1.7,94.7,0,52.1,47.9
6740005,2017,3.4,0,1.7,88,0,52.1,47.9
6740310,2017,2.1,0.4,8,84,0.4,48.7,51.3
6740050,2017,0,0,17.1,71,0.5,50.2,49.8
4960305,2017,10.7,1,29.8,52.3,1,51.7,48.3
1070010,2017,1.1,2.5,14.4,79.7,0.6,49.9,50.1
1070020,2017,0,0,6.8,88.1,0,55.3,44.7
1070042,2017,2.8,0.9,2.8,92,0,51.2,48.8
1070305,2017,1.6,0.9,8.6,83.7,0.5,51.5,48.5
1070045,2017,0.9,0.9,12.3,85,0,49.1,50.9
1070050,2017,1.7,1.7,5.1,88.8,0.8,48,52
1100305,2017,1.4,10.1,3.9,81.2,0,49.7,50.3
1100200,2017,1.9,15.6,6.3,74.1,0,51.4,48.6
1100030,2017,0.8,7.2,5.4,82.6,0.5,51.9,48.1
1110004,2017,0,0.6,7.7,89.3,0,58,42
1110505,2017,1,3.1,6,88.5,0,54.3,45.7
1110010,2017,0,2.9,7.8,84,1.5,50,50
1140025,2017,1.2,0,8.6,90.1,0,49,51
1140010,2017,2.6,1.3,13.7,75.6,0,48.3,51.7
1140505,2017,3.1,3.1,14.7,74.1,0,54,46
1140305,2017,1.5,2.3,16.5,73.6,0,51.5,48.5
1140035,2017,2.8,1.4,26,60.5,0,49.3,50.7
6730010,2017,0.8,6.3,1.7,86.8,0.2,48.1,51.9
6730305,2017,0.9,7.1,1.6,88.5,0.3,52.2,47.8
6730005,2017,0.4,5,1.8,91.4,0,55.4,44.6
1170015,2017,2,1,6.9,82.2,0.3,51.6,48.4
1170505,2017,3.9,2.3,8.1,80.6,0.4,50,50
1180005,2017,1,0.7,1.9,94.4,0.3,52.4,47.6
6750007,2017,0.4,2.7,5.9,89.8,0,51.4,48.6
6750010,2017,0,3.1,1.2,91.3,0,47.6,52.4
6750310,2017,0.7,2.9,2.7,91.4,0,51.1,48.9
6750015,2017,3.1,6.2,1.4,86.6,1,46.6,53.4
4990305,2017,24.9,2.7,30.5,39.1,0,50.2,49.8
