school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
1590305,2017,11,3.2,0,0,64,18.6,17,4.9
1590025,2017,31,8,6,1.6,73,18.9,39,10.1
1600020,2017,212,42.2,192,38.2,80,15.9,320,63.7
1600310,2017,137,25.1,127,23.3,91,16.7,301,55.2
1600090,2017,178,33.6,146,27.5,117,22.1,316,59.6
1600030,2017,214,40.5,185,35,84,15.9,251,47.5
1600080,2017,229,45.4,206,40.9,83,16.5,356,70.6
1600345,2017,219,31.7,172,24.9,107,15.5,359,52
1600002,2017,143,28.3,118,23.4,73,14.5,255,50.5
1600015,2017,158,31.5,136,27.1,65,13,326,65.1
1600330,2017,191,30.9,179,29,96,15.5,414,67
1600315,2017,160,23,139,20,126,18.1,303,43.5
1600340,2017,237,35.4,218,32.5,104,15.5,398,59.4
1600050,2017,162,33.5,139,28.7,93,19.2,255,52.7
1600010,2017,185,37.3,161,32.5,88,17.7,303,61.1
1600360,2017,304,45.2,266,39.5,101,15,424,63
1600085,2017,2,11.1,1,5.6,18,100,17,94.4
1600320,2017,1,3,0,0,33,100,31,93.9
1600505,2017,583,18.5,352,11.2,325,10.3,"1,393",44.3
1600027,2017,114,45.8,110,44.2,19,7.6,173,69.5
1600036,2017,134,26.5,117,23.2,78,15.4,230,45.5
1600040,2017,174,31.7,159,29,59,10.7,283,51.5
1600018,2017,116,23.3,108,21.7,115,23.1,215,43.2
1600005,2017,231,38.1,189,31.1,88,14.5,390,64.3
1600075,2017,126,25.6,102,20.7,75,15.2,301,61.2
1600515,2017,12,10.1,11,9.2,13,10.9,80,67.2
1600055,2017,102,39.5,86,33.3,47,18.2,109,42.2
4560050,2017,561,68.7,400,49,127,15.5,384,47
4580505,2017,3,3.2,1,1.1,26,27.7,62,66
1610020,2017,28,8.1,19,5.5,54,15.6,111,32.1
1610010,2017,35,9.5,24,6.5,54,14.6,119,32.2
1610505,2017,82,9.2,10,1.1,128,14.3,182,20.3
1610305,2017,46,6.7,12,1.8,109,15.9,176,25.7
1610023,2017,17,4.6,3,0.8,49,13.4,94,25.7
1620505,2017,12,2.7,6,1.4,55,12.5,62,14.1
1620305,2017,9,2.3,2,0.5,61,15.7,64,16.5
1620010,2017,9,2.3,9,2.3,82,21.2,68,17.6
1620025,2017,16,4,9,2.3,71,17.8,69,17.3
1630016,2017,290,59.9,152,31.4,36,7.4,264,54.5
1630011,2017,48,18.5,9,3.5,22,8.5,112,43.2
1630405,2017,767,59.2,146,11.3,208,16,690,53.2
1630020,2017,116,41.1,52,18.4,24,8.5,165,58.5
1630090,2017,71,22.8,10,3.2,128,41,120,38.5
1630505,2017,912,58.1,224,14.3,188,12,687,43.8
1630035,2017,416,66.8,241,38.7,63,10.1,390,62.6
1630045,2017,378,56.7,184,27.6,107,16,433,64.9
1630004,2017,138,46.3,82,27.5,66,22.1,176,59.1
1630095,2017,124,28.4,46,10.5,68,15.6,194,44.4
1630525,2017,232,75.3,173,56.2,54,17.5,161,52.3
1630055,2017,216,45.5,96,20.2,53,11.2,280,58.9
1630060,2017,385,55.7,207,30,76,11,413,59.8
1630030,2017,157,33.1,52,11,102,21.5,257,54.2
1630070,2017,93,37.5,43,17.3,28,11.3,116,46.8
1630510,2017,961,60.1,308,19.3,184,11.5,708,44.3
1630605,2017,603,62.2,109,11.2,240,24.8,472,48.7
1630075,2017,16,9.8,3,1.8,28,17.2,41,25.2
1630420,2017,192,31.1,25,4,118,19.1,237,38.3
1630050,2017,328,64.6,183,36,40,7.9,285,56.1
1630085,2017,88,30.8,40,14,63,22,103,36
1630305,2017,700,60.2,161,13.8,184,15.8,646,55.5
1630100,2017,256,60.4,134,31.6,24,5.7,231,54.5
1630005,2017,267,57.1,157,33.5,51,10.9,308,65.8
1630080,2017,9,18.8,1,2.1,46,95.8,36,75
1630040,2017,403,63.9,214,33.9,51,8.1,379,60.1
1640010,2017,50,12.1,11,2.7,47,11.4,31,7.5
1640505,2017,22,3.5,0,0,93,14.8,49,7.8
1640405,2017,23,3.3,0,0,156,22.3,44,6.3
1640005,2017,2,4.3,0,0,25,53.2,5,10.6
1640020,2017,17,4,5,1.2,53,12.6,16,3.8
4680505,2017,9,9.3,0,0,0,0,5,5.2
1650003,2017,512,58,227,25.7,102,11.6,369,41.8
1650013,2017,488,53.5,187,20.5,101,11.1,436,47.8
1650027,2017,190,32.6,62,10.7,139,23.9,226,38.8
1650047,2017,399,44.5,112,12.5,194,21.6,390,43.5
1650049,2017,155,51.8,0,0,101,33.8,121,40.5
1650505,2017,963,52.5,270,14.7,259,14.1,731,39.9
1650057,2017,792,65.1,466,38.3,105,8.6,642,52.8
6980020,2017,9,4,5,2.2,19,8.4,31,13.8
6980510,2017,11,2.6,4,0.9,41,9.7,34,8
6980030,2017,4,1,1,0.3,48,12.4,28,7.3
6980010,2017,4,1.1,0,0,36,10,18,5
1670007,2017,41,5.8,29,4.1,70,9.9,93,13.1
1670035,2017,47,4.6,4,0.4,166,16.4,123,12.2
1670014,2017,37,4.4,17,2,124,14.9,120,14.4
