SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
East Longmeadow - East Longmeadow High, 00870505,3.6,6,4.6,84.9,0.2,0.1,0.6,48.7,51.3
East Longmeadow - Mapleshade, 00870010,3.3,5.9,5.6,82.5,0,0,2.6,44.6,55.4
East Longmeadow - Meadow Brook, 00870013,1.1,4.8,8.7,82.2,0,0,3.2,55.2,44.8
East Longmeadow - Mountain View, 00870015,1.7,3,5.3,86.3,0,0,3.7,51.7,48.3
Eastham - Eastham Elementary, 00850005,5.5,1.6,3.8,85.7,1.1,0,2.2,48.4,51.6
Easthampton - Center School, 00860005,1,2.1,13.4,79.4,0.5,0,3.6,58.8,41.2
Easthampton - Easthampton High, 00860505,2.3,4,11.7,81.1,0,0.2,0.6,47.1,52.9
Easthampton - Maple, 00860010,1.6,3.5,9.8,81.6,0.8,0,2.7,53.9,46.1
Easthampton - Neil A Pepin, 00860020,1,5.7,13,75,0.5,0,4.7,55.2,44.8
Easthampton - White Brook Middle School, 00860305,1.8,3.6,10.5,82.4,0,0,1.8,48.3,51.7
Easton - Center School, 00880003,8.3,2.8,0.4,87,0.4,0.4,0.8,56.9,43.1
Easton - Easton Middle School, 00880405,5.4,3.4,3.5,85.1,0.1,0,2.5,49.3,50.7
Easton - Moreau Hall, 00880020,5.6,2.1,5.6,84.1,1.3,0,1.3,50.6,49.4
Easton - Oliver Ames High, 00880505,4.8,4.1,5,82.7,0.2,0.1,3.3,47.2,52.8
Easton - Parkview Elementary, 00880015,3.8,1.7,4.4,84.3,0.3,0,5.5,52.8,47.2
Easton - Richardson Olmsted School, 00880025,4,3.2,4,86.2,0,0,2.6,51,49
Edgartown - Edgartown Elementary, 00890005,3.2,0.3,18.1,71,2.3,0,5.2,45.7,54.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School), 04520505,44.6,1.9,46.8,4.5,0,0,2.2,34.3,65.7
Erving - Erving Elementary, 00910030,0,0,3.7,86.8,0,0,9.6,52.9,47.1
Essex North Shore Agricultural and Technical School District - Essex Technical High School, 08170505,1.3,1.5,12.3,81.6,0.1,0.1,3.1,43,57
Everett - Adams School, 00930003,16.3,8.1,44,29.7,0,0,1.9,57.4,42.6
Everett - Devens School, 00930030,20,0,38.5,36.9,0,0,4.6,76.9,23.1
Everett - Everett High, 00930505,19.9,4.4,43.9,30.2,0.3,0.1,1.1,52,48
Everett - George Keverian School, 00930028,16.5,5.6,48,26.9,0.5,0.1,2.4,52.8,47.2
Everett - Lafayette School, 00930038,19.2,4.6,44.1,28.7,0.5,0,2.8,47.8,52.2
Everett - Madeline English School, 00930018,13.1,5,46.8,32.7,0.6,0.2,1.6,49.7,50.3
Everett - Parlin School, 00930058,18.8,3,60.2,16.2,0.2,0,1.6,49,51
Everett - Sumner G. Whittier School, 00930010,13.4,6.4,61,16.5,1,0,1.7,47.6,52.4
Everett - Webster School, 00930015,15.8,6.9,41,34.4,0,0,2,56.7,43.3
Excel Academy Charter (District) - Excel Academy Charter School, 04100205,7.3,1.5,79.2,10.1,1.3,0.3,0.3,49.4,50.6
Fairhaven - East Fairhaven, 00940010,1.6,1.6,6.2,86,0.5,0,4.1,52.3,47.7
Fairhaven - Fairhaven High, 00940505,0.8,1.6,5.8,89.1,0.2,0,2.4,47.9,52.1
Fairhaven - Hastings Middle, 00940305,1.1,2.6,4.1,89.5,0.7,0,2,52.6,47.4
Fairhaven - Leroy Wood, 00940030,1.6,2.1,5.6,85.4,0.2,0,5.1,49.8,50.2
Fall River - B M C Durfee High, 00950505,8.3,5.5,23.4,58.2,0.2,0.2,4.3,50.8,49.2
Fall River - Carlton M. Viveiros Elementary School, 00950009,7.4,3.9,29.4,49.1,0.3,0,9.9,53.5,46.5
Fall River - Fall River Gateway to College @ BCC, 00950515,8,4,8,80,0,0,0,36,64
Fall River - Henry Lord Community School, 00950017,9.9,5.3,30.3,43.9,0.2,0.6,9.8,53.2,46.8
Fall River - James Tansey, 00950140,1.4,1,8.9,80.9,0,0,7.8,47.8,52.2
Fall River - John J Doran, 00950045,7.7,1.8,28,53.3,0.4,0,8.8,51.6,48.4
Fall River - Letourneau Elementary School, 00950013,7.5,2,36,48.6,0,0,5.9,49.6,50.4
Fall River - Mary Fonseca Elementary School, 00950011,8.7,5.6,33.5,40.5,0.6,0,11.1,50.5,49.5
Fall River - Matthew J Kuss Middle, 00950320,6.5,3.8,21,62.6,0.3,0,5.8,49,51
Fall River - Morton Middle, 00950315,7.7,4.7,21.7,59.2,0.2,0.3,6.3,56.1,43.9
Fall River - North End Elementary, 00950005,5.6,3.8,18,63.8,0,0.1,8.7,54.1,45.9
Fall River - Resiliency Middle School, 00950335,11.1,0,37,40.7,3.7,0,7.4,55.6,44.4
Fall River - Resiliency Preparatory School, 00950325,13.6,1.2,27.2,52.5,0,1.2,4.3,58,42
Fall River - Samuel Watson, 00950145,11.8,2,23.4,49.3,1.3,0,12.2,46.7,53.3
Fall River - Spencer Borden, 00950130,5.4,4.4,15.5,66.5,0,0,8.2,55.6,44.4
Fall River - Stone Day School, 00950340,12.5,0,25,46.9,0,0,15.6,90.6,9.4
Fall River - Talbot Innovation School, 00950305,7.1,5.1,31.7,50.4,0.2,0,5.5,52.2,47.8
Fall River - William S Greene, 00950065,4.9,5.3,23.2,57.6,0.1,0,8.9,50,50
Falmouth - East Falmouth Elementary, 00960005,5.1,0.9,6,78.9,2.3,0,6.8,54.1,45.9
Falmouth - Falmouth High, 00960505,4.9,3.5,4,82.1,0.7,0.1,4.8,51,49
Falmouth - Lawrence, 00960405,4.6,3,3.9,80.5,1.4,0,6.7,51.2,48.8
Falmouth - Morse Pond School, 00960305,6.5,1.4,5.1,81.3,0.5,0.3,4.9,49.2,50.8
Falmouth - Mullen-Hall, 00960020,3,3.4,6,78.7,1.5,0,7.3,53.9,46.1
Falmouth - North Falmouth Elementary, 00960030,2.2,1.9,5.4,86.2,0,0,4.2,49,51
Falmouth - Teaticket, 00960015,8.3,2,5.3,75,2.7,0,6.7,52.3,47.7
Farmington River Reg - Farmington River Elementary, 06620020,0,0,0.9,98.2,0,0,0.9,52.6,47.4
Fitchburg - Arthur M Longsjo Middle School, 00970315,5.9,4.7,51.3,30.4,0.2,0,7.5,55.1,44.9
Fitchburg - Crocker Elementary, 00970016,4.5,2.5,51.4,34.1,0.3,0.2,7,52.5,47.5
Fitchburg - Fitchburg High, 00970505,7.3,6.1,48.3,32,0,0.1,6.1,52.1,47.9
Fitchburg - Goodrich Academy, 00970510,7,1.2,34.9,54.7,0,0,2.3,55.2,44.8
Fitchburg - McKay Arts Academy, 00970340,4.6,6.7,48.1,32.5,0,0,8,47.1,52.9
Fitchburg - Memorial Intermediate, 00970048,5.6,5.4,52.2,29.9,0,0,6.8,50.3,49.7
Fitchburg - Reingold Elementary, 00970043,5.8,3.1,44.9,38.1,0,0.2,8,51.9,48.1
Fitchburg - South Street Elementary, 00970060,6.1,5.6,53.3,27.3,0.1,0.1,7.4,49.9,50.1
Florida - Abbott Memorial, 00980005,1.2,0,0,96.3,0,1.2,1.2,44.4,55.6
Four Rivers Charter Public (District) - Four Rivers Charter Public School, 04130505,0.5,2.7,7.3,85,0,0,4.5,47.3,52.7
Foxborough - Charles Taylor Elementary, 00990050,4.1,4.1,4.1,84.4,0.8,0.4,2.1,57.2,42.8
Foxborough - Foxborough High, 00990505,5.3,2.7,3,87.9,0.1,0.1,0.8,53.2,46.8
Foxborough - John J Ahern, 00990405,4.5,2.3,4.2,86.8,0.5,0,1.7,51,49
Foxborough - Mabelle M Burrell, 00990015,2.6,6.1,3.5,83.3,0.3,0.3,3.9,55.6,44.4
Foxborough - Vincent M Igo Elementary, 00990020,3.6,5.3,4.1,83.5,0.5,0,3,50.8,49.2
Foxborough Regional Charter (District) - Foxborough Regional Charter School, 04460550,36.6,10,4.4,42.9,0.1,0.1,5.9,47.4,52.6
Framingham - Barbieri Elementary, 01000035,3.3,0.6,69.4,23.6,0.1,0,3,46.2,53.8
Framingham - Brophy, 01000006,7.6,4.5,53.4,32.4,0,0,2.1,48.9,51.1
Framingham - Cameron Middle School, 01000302,7.1,2,18.3,69.2,0.2,0,3.1,50.2,49.8
Framingham - Charlotte A Dunning, 01000007,5,13.4,11.3,66.6,0,0,3.8,54.5,45.5
Framingham - Framingham High School, 01000515,6.9,6.1,22,62,0.1,0,2.7,51.4,48.6
Framingham - Fuller Middle, 01000305,9,2.4,38.3,46.7,0,0.4,3.2,52,48
Framingham - Hemenway, 01000015,3.8,7.5,11.5,72.9,0,0,4.2,51.1,48.9
Framingham - Juniper Hill School, 01000001,7.3,6,23.9,57.3,0,0,5.6,53,47
Framingham - King Elementary School, 01000005,6.4,11.2,13.6,61.2,0,0,7.6,56.8,43.2
Framingham - Mary E Stapleton Elementary, 01000045,6.6,4.3,19.1,64.6,0.3,0,5.1,52.2,47.8
Framingham - Miriam F McCarthy School, 01000050,11.5,2.3,28,52.2,0,0.4,5.6,49.7,50.3
Framingham - Potter Road, 01000039,5.2,4.4,7.2,78.7,0,0,4.6,52.3,47.7
Framingham - Walsh Middle, 01000310,4.7,7.9,29.3,55.4,0,0,2.8,51,49
Framingham - Woodrow Wilson, 01000055,8.5,0.3,21.5,67.4,0.2,0,2.1,49.7,50.3
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School, 04780505,0.5,1.5,2.8,91.6,0,0,3.5,45.6,54.2
Franklin - Annie Sullivan Middle School, 01010040,0.6,3.7,1.7,92.9,0,0.4,0.6,52.8,47.2
Franklin - Davis Thayer, 01010035,1.5,1.5,4.8,90.4,0.4,0.4,1.1,53.3,46.7
Franklin - Franklin Early Childhood Development Center, 01010003,1.5,4.6,5.3,80.9,0,6.1,1.5,62.6,37.4
Franklin - Franklin High, 01010505,1.7,4.5,2.1,89.4,0.2,0.2,2,49.2,50.8
Franklin - Helen Keller Elementary, 01010012,1.5,3.9,0.7,91.8,0,0.5,1.7,53.8,46.2
Franklin - Horace Mann, 01010405,1.3,7.7,2.1,86.9,0.2,0,1.7,47.2,52.8
Franklin - J F Kennedy Memorial, 01010013,0.8,7.8,2.8,86.1,0,0.6,1.9,51.7,48.3
Franklin - Jefferson Elementary, 01010010,2.4,7.9,1.2,86.6,0,0.6,1.2,54.7,45.3
Franklin - Oak Street Elementary, 01010030,1,4.4,4.8,86.7,0.2,0.2,2.7,53.3,46.7
Franklin - Parmenter, 01010032,3.8,6.6,2.7,84.4,0.3,0.8,1.4,52.3,47.7
Franklin - Remington Middle, 01010310,1.5,5,3.7,87.4,0.2,0,2.2,52,48
Franklin County Regional Vocational Technical - Franklin County Technical, 08180605,1,0.2,2.5,95.9,0,0,0.4,67.8,32.2
Freetown-Lakeville - Apponequet Regional High, 06650505,1.4,1.5,1.8,93.7,0.3,0.1,1.2,49.5,50.5
Freetown-Lakeville - Assawompset Elementary School, 06650002,2.2,1,0.2,93.8,0.2,0,2.6,52,48
Freetown-Lakeville - Freetown Elementary School, 06650001,1,0.3,1.5,96.5,0,0,0.8,51,49
Freetown-Lakeville - Freetown-Lakeville Middle School, 06650305,0.7,0.9,1.8,94.7,0.3,0.1,1.5,49.9,50.1
Freetown-Lakeville - George R Austin Intermediate School, 06650015,1.7,0.6,0.8,94.9,0.4,0,1.5,47.8,52.2
Frontier - Frontier Regional, 06700505,1.3,3.1,4.4,88.4,0,0.3,2.5,54,46
Gardner - Elm Street School, 01030001,2.4,1,17.3,68.6,0.2,0,10.5,55.8,44.2
Gardner - Gardner Academy for Learning and Technology, 01030515,5.4,1.1,12.9,73.1,1.1,0,6.5,58.1,41.9
Gardner - Gardner High, 01030505,2.7,2.1,12.5,78.5,0.4,0,3.8,53.6,46.4
Gardner - Gardner Middle School, 01030405,2.6,1.8,15.2,70,0.2,0,10.2,49.4,50.6
Gardner - Waterford Street, 01030020,2.2,1.1,18.5,69.9,0.2,0,8.1,46.4,53.6
Gateway - Chester Elementary, 06720059,1.7,0,3.4,91.4,1.7,0,1.7,53.4,46.6
Gateway - Gateway Regional High, 06720505,0.5,0.9,2.7,94.1,0,0,1.8,44.1,55.9
Gateway - Gateway Regional Middle School, 06720405,0,0.5,5.8,91.8,0.5,0,1.4,57.2,42.8
Gateway - Littleville Elementary School, 06720143,1.3,0,3.7,91.9,0,0.3,2.7,53.2,46.8
Georgetown - Georgetown High School, 01050505,0.7,1,2.7,93.2,0,0,2.4,47.7,52.3
Georgetown - Georgetown Middle School, 01050305,0.4,1.3,0.4,97,0,0,0.9,54.1,45.9
Georgetown - Penn Brook, 01050010,1.1,1.1,1.7,94.7,0,0.3,1,52.1,47.9
Georgetown - Perley Elementary, 01050005,0,0.9,0.9,98.1,0,0,0,51.9,48.1
Gill-Montague - Gill Elementary, 06740005,3.4,0,1.7,88,0,0,6.8,52.1,47.9
Gill-Montague - Great Falls Middle, 06740310,2.1,0.4,8,84,0.4,0,5,48.7,51.3
Gill-Montague - Hillcrest Elementary School, 06740015,0,0.7,16.9,73.6,0,0.7,8.1,51.4,48.6
Gill-Montague - Sheffield Elementary School, 06740050,0,0,17.1,71,0.5,0.5,11.1,50.2,49.8
Gill-Montague - Turners Fall High, 06740505,1.7,0.4,7.4,86.1,0,0,4.3,49.8,50.2
Global Learning Charter Public (District) - Global Learning Charter Public School, 04960305,10.7,1,29.8,52.3,1,0,5.3,51.7,48.3
Gloucester - Beeman Memorial, 01070010,1.1,2.5,14.4,79.7,0.6,0,1.7,49.9,50.1
Gloucester - East Gloucester Elementary, 01070020,0,0,6.8,88.1,0,0,5.1,55.3,44.7
Gloucester - Gloucester High, 01070505,2.2,1.7,7.5,85.7,0.2,0.7,2,51.1,48.9
Gloucester - Gloucester PreSchool, 01070025,3.1,3.1,2.1,85.4,0,0,6.3,52.1,47.9
Gloucester - Plum Cove School, 01070042,2.8,0.9,2.8,92,0,0,1.4,51.2,48.8
Gloucester - Ralph B O'Maley Middle, 01070305,1.6,0.9,8.6,83.7,0.5,0.3,4.4,51.5,48.5
Gloucester - Veterans Memorial, 01070045,0.9,0.9,12.3,85,0,0,0.9,49.1,50.9
Gloucester - West Parish, 01070050,1.7,1.7,5.1,88.8,0.8,0,2,48,52
Gosnold - Cuttyhunk Elementary, 01090005,0,0,0,100,0,0,0,50,50
Grafton - Grafton High School, 01100505,1.2,8.9,3.5,84.1,0,0.1,2.3,48.4,51.6
Grafton - Grafton Middle, 01100305,1.4,10.1,3.9,81.2,0,0,3.3,49.7,50.3
Grafton - Millbury Street Elementary School, 01100200,1.9,15.6,6.3,74.1,0,0,2.1,51.4,48.6
Grafton - North Grafton Elementary, 01100025,0.4,13.3,4.9,74,0.4,0.4,6.7,51.9,48.1
Grafton - North Street Elementary School, 01100030,0.8,7.2,5.4,82.6,0.5,0.3,3.2,51.9,48.1
Grafton - South Grafton Elementary, 01100005,1.3,18.2,3.2,74,0,0,3.2,55.8,44.2
Granby - East Meadow, 01110004,0,0.6,7.7,89.3,0,0,2.4,58,42
Granby - Granby Jr Sr High School, 01110505,1,3.1,6,88.5,0,0,1.3,54.3,45.7
Granby - West Street, 01110010,0,2.9,7.8,84,1.5,0,3.9,50,50
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High, 08210605,1.6,1.4,8.4,83.4,0.4,0.1,4.7,55.8,44.2
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical, 08230605,0.8,1,80.6,17.4,0.1,0,0.1,49.2,50.8
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical, 08280605,3.4,16.4,31.8,44.3,0.5,0,3.6,55.2,44.8
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical, 08250605,8.7,0.7,19.9,66.7,0.4,0,3.6,49.6,50.4
Greenfield - Discovery School at Four Corners, 01140025,1.2,0,8.6,90.1,0,0,0,49,51
Greenfield - Federal Street School, 01140010,2.6,1.3,13.7,75.6,0,0,6.8,48.3,51.7
Greenfield - Green River, 01140030,0,0,0,100,0,0,0,33.3,66.7
Greenfield - Greenfield High, 01140505,3.1,3.1,14.7,74.1,0,0,4.9,54,46
Greenfield - Greenfield Middle, 01140305,1.5,2.3,16.5,73.6,0,0,6.1,51.5,48.5
Greenfield - Newton School, 01140035,2.8,1.4,26,60.5,0,0,9.3,49.3,50.7
Greenfield - The Academy of Early Learning at North Parish, 01140005,0.8,1.6,10.7,86.1,0,0,0.8,54.9,45.1
Groton-Dunstable - Boutwell School, 06730001,0,3.1,12.5,79.7,1.6,0,3.1,60.9,39.1
Groton-Dunstable - Florence Roche School, 06730010,0.8,6.3,1.7,86.8,0.2,0,4.2,48.1,51.9
Groton-Dunstable - Groton Dunstable Regional, 06730505,0.7,5.9,0.9,91.7,0.1,0.1,0.5,50.2,49.8
Groton-Dunstable - Groton Dunstable Regional Middle, 06730305,0.9,7.1,1.6,88.5,0.3,0.3,1.4,52.2,47.8
Groton-Dunstable - Swallow/Union School, 06730005,0.4,5,1.8,91.4,0,0,1.4,55.4,44.6
Hadley - Hadley Elementary, 01170015,2,1,6.9,82.2,0.3,4.3,3.3,51.6,48.4
Hadley - Hopkins Academy, 01170505,3.9,2.3,8.1,80.6,0.4,1.2,3.5,50,50
Halifax - Halifax Elementary, 01180005,1,0.7,1.9,94.4,0.3,0,1.7,52.4,47.6
Hamilton-Wenham - Bessie Buker Elementary, 06750007,0.4,2.7,5.9,89.8,0,0,1.2,51.4,48.6
Hamilton-Wenham - Cutler School, 06750010,0,3.1,1.2,91.3,0,1.6,2.8,47.6,52.4
Hamilton-Wenham - Hamilton-Wenham Regional High, 06750505,0.2,4,2.3,91.1,0,0.2,2.3,46.9,53.1
Hamilton-Wenham - Miles River Middle, 06750310,0.7,2.9,2.7,91.4,0,0.2,2,51.1,48.9
Hamilton-Wenham - Winthrop School, 06750015,3.1,6.2,1.4,86.6,1,0,1.7,46.6,53.4
Hampden Charter School of Science (District) - Hampden Charter School of Science, 04990305,24.9,2.7,30.5,39.1,0,0,2.7,50.2,49.8
Hampden-Wilbraham - Green Meadows Elementary, 06800005,2,1.2,6.9,86.6,0,0,3.2,50.2,49.8
Hampden-Wilbraham - Mile Tree Elementary, 06800025,2.5,1.9,5.7,85.4,0,0,4.4,50.2,49.8
Hampden-Wilbraham - Minnechaug Regional High, 06800505,2.7,3,5.2,86.7,0.1,0.2,2.2,50.2,49.8
Hampden-Wilbraham - Soule Road, 06800030,3.2,3.2,5.6,84.4,0.3,0,3.2,49.6,50.4
Hampden-Wilbraham - Stony Hill School, 06800050,3.6,2.6,7.6,81.8,0,0,4.3,50.2,49.8
Hampden-Wilbraham - Thornton Burgess, 06800305,3.6,1.4,5,86.9,0.9,0,2.3,50,50
Hampden-Wilbraham - Wilbraham Middle, 06800310,2.1,3.7,5.8,85.6,0.4,0,2.4,48.9,51.1
Hampshire - Hampshire Regional High, 06830505,0.7,0.5,2.8,93.5,0.1,0,2.3,44.9,55.1
Hancock - Hancock Elementary, 01210005,0,0,0,100,0,0,0,50,50
Hanover - Cedar Elementary, 01220004,1.4,1.4,1.9,95.3,0,0,0,50.2,49.8
Hanover - Center Elementary, 01220005,0.3,1.1,1.7,95.7,0,0,1.1,49.9,50.1
Hanover - Hanover High, 01220505,0.6,2,0.9,96.1,0,0,0.4,52.9,46.8
Hanover - Hanover Middle, 01220305,0.6,2.3,1.6,95.4,0,0,0.1,53.1,46.9
Hanover - Sylvester, 01220015,0,0.9,3.5,94.3,0,0,1.3,48.7,51.3
Harvard - Bromfield, 01250505,1.9,12.1,3.2,81,0,0,1.8,50.7,49.3
Harvard - Hildreth Elementary School, 01250005,2.5,9.7,3.9,81.8,0,0,2.1,52,48
Hatfield - Hatfield Elementary, 01270005,0.4,0.4,5.7,92.6,0,0,0.8,52.9,47.1
Hatfield - Smith Academy, 01270505,1.5,2.5,3.5,88.9,0,0,3.5,52,48
Haverhill - Bartlett Kindergarten Center, 01280005,4.6,0.7,57.6,36.4,0,0,0.7,58.3,41.7
Haverhill - Bradford Elementary, 01280008,3.9,1.8,16.2,77.1,0.2,0,0.8,51.3,48.7
Haverhill - Caleb Dustin Hunking, 01280035,4.1,1.7,17.8,75.2,0,0,1.2,50.2,49.8
Haverhill - Consentino Middle School, 01280100,2.8,1.7,45.5,48.9,0,0.1,1.1,50.9,49.1
Haverhill - Crowell, 01280020,4,0.7,56.7,35.3,0.7,0,2.7,53.3,46.7
Haverhill - Dr Paul Nettle, 01280050,3.8,2.2,38,55.3,0,0.2,0.4,49.9,50.1
Haverhill - Golden Hill, 01280026,3.1,2.1,38,53.6,0.2,0,3.1,50.3,49.7
Haverhill - Greenleaf, 01280027,0.8,1.2,27.8,66.5,0,0,3.6,53.2,46.8
Haverhill - Haverhill Alternative School, 01280033,6.5,0,41.3,52.2,0,0,0,76.1,23.9
Haverhill - Haverhill High, 01280505,3.5,2.2,30.9,62.4,0.1,0,0.9,52.8,47.2
Haverhill - John G Whittier, 01280085,3.3,1.4,26.7,67.8,0.2,0.2,0.4,51.7,48.3
Haverhill - Moody, 01280045,7.9,1,24.1,66,0,0,1,62.1,37.9
Haverhill - Pentucket Lake Elementary, 01280054,3.9,2.5,34.1,57.1,0.6,0.2,1.6,56.5,43.5
Haverhill - TEACH, 01280073,2,2,39.2,54.9,0,0,2,76.5,23.5
Haverhill - Tilton, 01280075,2.8,1.1,48.9,45,0.6,0,1.7,52.4,47.6
Haverhill - Walnut Square, 01280080,0,1.3,14.6,78.8,0,0,5.3,53,47
Hawlemont - Hawlemont Regional, 06850005,0,1,7.6,85.7,1.9,0,3.8,44.8,55.2
Helen Y. Davis Leadership Academy Charter Public (District) - Helen Y. Davis Leadership Academy Charter Public School, 04190305,79.7,0.5,17.5,0,0.5,1.8,0,58.1,41.9
Hill View Montessori Charter Public (District) - Hill View Montessori Charter Public School, 04550050,5.2,0.7,18.3,72.5,0.3,0,2.9,42.5,57.5
Hilltown Cooperative Charter Public (District) - Hilltown Cooperative Charter Public School, 04500105,0.5,1.4,7.3,81.7,0,0,9.2,53.2,46.8
Hingham - East Elementary School, 01310005,0.7,2.2,2,92.8,0,0,2.2,57.5,42.5
Hingham - Hingham High, 01310505,0.9,2.1,2.8,91.4,0,0,2.8,50.9,49.1
Hingham - Hingham Middle School, 01310410,1,3,2.4,91,0,0.1,2.6,50.8,49.2
Hingham - Plymouth River, 01310019,1.5,1.9,3.4,90.2,0,0,3,47.4,52.6
Hingham - South Elementary, 01310020,2.1,2.7,1.8,89.5,0,0,3.9,49.8,50.2
Hingham - Wm L Foster Elementary, 01310010,1.3,1.9,3.6,90.2,0,0,3,54,46
Holbrook - Holbrook Jr Sr High, 01330505,23.2,4.9,11,54.8,0,0,6,50.5,49.5
Holbrook - John F Kennedy, 01330018,13.8,3,12.4,61.4,0,0,9.4,53.6,46.4
Holbrook - South, 01330025,17.6,4.3,12.6,56.5,0,0,9,47.8,52.2
Holland - Holland Elementary, 01350005,2.1,2.1,3.4,91.6,0.4,0,0.4,52.7,47.3
Holliston - Holliston High, 01360505,0.6,5.2,2.1,89.6,0,0,2.5,51.5,48.5
Holliston - Miller School, 01360007,0.7,5.9,5.9,84.9,0.3,0,2.3,51.3,48.7
Holliston - Placentino Elementary, 01360010,1,8.2,4.6,81.6,0.1,0,4.5,52.9,47.1
Holliston - Robert H. Adams Middle School, 01360305,0.5,7.7,3.9,84.9,0.8,0,2.3,49,51
Holyoke - E N White Elementary, 01370045,3,0,80,15.2,0,0,1.8,52.5,47.5
Holyoke - H.B. Lawrence School, 01370070,1,0.3,89.3,8.3,0,0.3,0.7,54.7,45.3
Holyoke - Holyoke High, 01370505,2.6,1,72.1,22.7,0,0.1,1.4,51.9,48.1
Holyoke - Joseph Metcalf School, 01370003,5.7,1.1,59.9,31.3,0,0.4,1.5,52.7,47.3
Holyoke - Kelly Elementary, 01370040,0.9,0.7,94.5,3.3,0,0,0.6,51.7,48.3
Holyoke - Lt Clayre Sullivan Elementary, 01370055,3.2,1.8,78,15.2,0,0.2,1.6,50.1,49.9
Holyoke - Lt Elmer J McMahon Elementary, 01370015,1.7,1.9,60.6,33.6,0.2,0,1.9,56.8,43.2
Holyoke - Maurice A Donahue Elementary, 01370060,3.9,1.3,79.1,14.6,0,0,1.1,57.3,42.7
Holyoke - Morgan Full Service Community School, 01370025,3.9,1.5,91.3,2.7,0,0,0.7,51.3,48.7
Holyoke - William R. Peck School, 01370030,1.9,0,91,6.3,0,0.3,0.5,54.4,45.6
Holyoke - Wm J Dean Vocational Technical High, 01370605,2,0.4,90.9,6.7,0,0,0,58.3,41.7
Holyoke Community Charter (District) - Holyoke Community Charter School, 04530005,1.9,0.4,89.7,5.7,0,0,2.3,43.3,56.7
Hopedale - Hopedale Jr Sr High, 01380505,1.1,1.9,2.9,92.4,1,0,0.8,48.3,51.7
Hopedale - Memorial, 01380010,0.7,1.6,5.1,88.2,0.2,0.5,3.6,55.9,44.1
Hopedale - Park Street School, 01380003,1.6,0,0,93.8,0,0,4.7,51.6,48.4
Hopkinton - Center, 01390005,0.2,16,2.2,78.2,0.4,0,2.9,48.7,51.3
Hopkinton - Elmwood, 01390010,0.6,13.1,3.3,77.7,0.4,0.2,4.7,53.9,46.1
Hopkinton - Hopkins Elementary School, 01390015,0.8,13.7,2.4,79.5,0.2,0,3.4,50.9,49.1
Hopkinton - Hopkinton High, 01390505,0.5,7.6,1.4,89.1,0.3,0,1.2,48.5,51.5
Hopkinton - Hopkinton Middle School, 01390305,0.9,11.5,1.4,84,0.2,0,2,47.7,52.3
Hopkinton - Hopkinton Pre-School, 01390003,1.5,4.6,0,93.8,0,0,0,60,40
Hudson - C A Farley, 01410030,1,2.9,12.5,81.5,0,0,2.1,47,53
Hudson - David J. Quinn Middle School, 01410410,1.3,1.4,7.8,86.4,0,0.2,3,47.6,52.4
Hudson - Forest Avenue Elementary, 01410015,1.2,2.5,9.2,81.8,0,0,5.2,53.2,46.8
Hudson - Hudson High, 01410505,1.7,2.1,5.8,88.5,0.3,0,1.5,48.9,51.1
Hudson - Mulready Elementary, 01410007,1.2,2,8.4,82.4,0,0,6,50,50
Hull - Hull High, 01420505,1,1,3.2,92,0,0.3,2.6,56.6,43.4
Hull - Lillian M Jacobs, 01420015,2.9,0.7,1,94.5,0,0,1,54.9,45.1
Hull - Memorial Middle, 01420305,1,0.5,0.5,96.6,0,0,1.5,53.9,46.1
Innovation Academy Charter (District) - Innovation Academy Charter School, 04350305,3.5,7.4,6.6,77.8,0,0,4.7,48.4,51.6
Ipswich - Ipswich High, 01440505,0.7,2,3.5,90.8,0,0,2.9,49.7,50.3
Ipswich - Ipswich Middle School, 01440305,0.7,1.3,3.9,89.3,0,0,4.8,48.5,51.5
Ipswich - Paul F Doyon Memorial, 01440007,1,2.3,5.3,89.6,0,0,1.8,50.3,49.7
Ipswich - Winthrop, 01440015,3.4,0.8,6.8,83,0.3,0,5.7,51.7,48.3
King Philip - King Philip Middle School, 06900510,1.9,1.8,2.7,91.9,0,0,1.7,52.4,47.4
King Philip - King Philip Regional High, 06900505,1.3,1.7,1.5,93.5,0,0.1,1.9,53,47
Kingston - Kingston Elementary, 01450005,1.4,0,1.6,96.6,0.2,0,0.2,51.6,48.4
Kingston - Kingston Intermediate, 01450020,1.2,0.7,3.6,93.3,0.3,0,0.9,51.9,48.1
KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School, 04630205,68.1,0.4,29.7,0.4,0,0,1.4,54.5,45.5
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School, 04290010,22.9,2.3,65.6,6.2,0.2,0,2.9,49.1,50.9
