School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Attleboro - Hyman Fine Elementary School,00160040,MATH,          91,53,          14,8,          77,45,          71,41,          11,6,         173,     500.7,          81.0,          74,56
Attleboro - Peter Thacher Elementary School,00160050,ELA,         101,59,          12,7,          89,52,          47,28,          22,13,         170,     504.7,          73.0,          77,71
Attleboro - Peter Thacher Elementary School,00160050,MATH,         102,60,           9,5,          93,55,          49,29,          19,11,         170,     505.4,          72.0,          77,75
Attleboro - Robert J. Coelho Middle School,00160305,ELA,         321,49,          33,5,         288,44,         284,44,          45,7,         650,     498.8,          49.0,         632,45
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         357,55,          41,6,         316,49,         263,41,          29,4,         649,     502.2,          44.5,         630,63
Attleboro - Thomas Willett Elementary School,00160035,ELA,         104,62,          18,11,          86,51,          58,35,           6,4,         168,     506.2,          56.5,          70,77
Attleboro - Thomas Willett Elementary School,00160035,MATH,          84,50,           7,4,          77,46,          67,40,          18,11,         169,     498.0,          50.0,          71,44
Attleboro - Wamsutta Middle School,00160320,ELA,         253,45,          28,5,         225,40,         255,45,          54,10,         562,     497.4,          39.0,         539,40
Attleboro - Wamsutta Middle School,00160320,MATH,         202,36,          28,5,         174,31,         294,53,          64,11,         560,     495.0,          36.0,         537,33
Auburn - Auburn Middle,00170305,ELA,         337,55,          35,6,         302,49,         244,40,          30,5,         611,     501.7,          45.5,         596,59
Auburn - Auburn Middle,00170305,MATH,         310,51,          51,8,         259,42,         270,44,          30,5,         610,     501.7,          45.0,         596,61
Auburn - Swanson Road Intermediate School,00170030,ELA,         363,69,          72,14,         291,55,         147,28,          19,4,         529,     508.2,          58.0,         338,84
Auburn - Swanson Road Intermediate School,00170030,MATH,         317,60,          46,9,         271,51,         181,34,          30,6,         528,     504.1,          51.0,         336,70
Avon - Avon Middle High School,00180510,ELA,          55,47,           7,6,          48,41,          46,40,          15,13,         116,     497.8,          40.0,         113,41
Avon - Avon Middle High School,00180510,MATH,          38,33,          11,9,          27,23,          62,53,          16,14,         116,     494.4,          21.0,         112,30
Avon - Ralph D Butler,00180010,ELA,         140,61,          18,8,         122,53,          76,33,          13,6,         229,     503.2,          49.0,         169,65
Avon - Ralph D Butler,00180010,MATH,          99,43,          12,5,          87,38,         107,47,          22,10,         228,     497.1,          50.0,         168,40
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,         175,46,          29,8,         146,39,         165,44,          37,10,         377,     498.5,          51.0,         358,44
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,         167,45,          15,4,         152,41,         169,45,          39,10,         375,     496.4,          50.0,         357,38
Ayer Shirley School District - Lura A. White Elementary School,06160001,ELA,          84,49,           9,5,          75,44,          81,48,           5,3,         170,     500.1,          53.0,         110,52
Ayer Shirley School District - Lura A. White Elementary School,06160001,MATH,          80,47,          13,8,          67,39,          71,42,          20,12,         171,     497.7,          50.0,         111,43
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,         120,52,          14,6,         106,45,         101,43,          12,5,         233,     500.1,          63.0,         141,52
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,          98,42,          12,5,          86,37,         108,46,          27,12,         233,     494.1,          50.5,         140,29
Barnstable - Barnstable High,00200505,ELA,         131,37,          11,3,         120,34,         162,46,          61,17,         354,     491.8,          33.0,         312,20
Barnstable - Barnstable High,00200505,MATH,         138,39,           9,3,         129,37,         173,49,          41,12,         352,     494.8,          46.5,         304,33
Barnstable - Barnstable Intermediate School,00200315,ELA,         329,45,          29,4,         300,41,         318,44,          78,11,         725,     497.3,          45.0,         657,40
Barnstable - Barnstable Intermediate School,00200315,MATH,         310,43,          38,5,         272,38,         334,46,          81,11,         725,     496.8,          46.0,         655,39
