school_id,year,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
4490305,2002,1420305,1420505,6740310,2360310,1510015,630010,7550505,6220405,6150305,4880550
4500105,2002,4880550,4830305,1970010,1970505,4350305,4320530,6220405,630010,1510015,6980020
4540205,2002,1490015,1370605,2740111,350229,4400205,350080,1490018,350691,2740087,490006
4640305,2002,2190505,6550405,4320530,6980020,1270505,6500305,7250310,2490005,7050405,6500310
4700105,2002,2780305,2360510,2200305,1890410,360325,2360505,230505,1990405,100410,2100410
4780505,2002,4470205,1580505,1250505,1010405,650505,1620505,1170505,6750310,6550505,860505
4810550,2002,350380,4200205,4410505,4840505,4440205,2810510,440420,4120530,440410,350542
4830305,2002,1910310,30305,4320530,6980020,6220405,1100305,4500105,1270505,1110505,1870020
4840505,2002,4200205,350543,4690505,350542,4120530,350380,4440205,4810550,350546,350540
4860105,2002,2010405,2810325,4410505,4870550,610305,440410,440420,2360305,1280100,4910550
4870550,2002,440420,490040,2440410,440410,490007,490005,4410505,1630420,2010405,4860105
4880550,2002,4500105,1970010,1970505,6100305,7500505,6220405,1510015,4830305,6980020,30305
4910550,2002,2360310,2360305,7350030,1140305,1030405,6450305,7550505,6150305,4490305,860305
6000405,2002,2070315,1550310,90310,1550305,260305,90305,260505,1980305,2710305,2070310
6050405,2002,1760315,160320,2200305,2210005,2070310,160315,4700105,2070315,6050505,1550310
6100305,2002,1100305,2780505,7250025,1770305,6500310,1750305,1970010,2040305,6980020,1980310
6150305,2002,940305,1420305,6350305,7550505,2360310,2140305,2780305,1030405,6150505,1140305
6200505,2002,1590305,2190405,6800310,1770305,1380505,6980020,6750310,7250310,6500305,7450405
6220405,2002,2520305,30305,1510015,1110505,2140505,1870020,6180505,240505,360505,6200505
6250315,2002,2180305,2140505,6180505,2730305,6600305,360505,870305,1510015,2780505,2090505
6350305,2002,7200305,940305,1510015,6150505,2270505,6600305,6250315,2780305,940505,1070305
6450305,2002,1140505,1030405,2360310,1500025,2140305,1140305,860305,7550505,1070305,940305
6500305,2002,6550405,2190505,2190405,4320530,650505,6200505,1590305,300305,2460305,6980020
6500310,2002,1770305,7050405,6980020,7250025,1100305,1750305,2180505,770505,1220305,1050505
6550405,2002,2190505,2460305,2190405,6500305,1590305,300305,6580305,7250025,1750305,6800310
6580305,2002,300305,6730505,6580310,1360505,2190505,7670505,820505,1220505,2610505,880405
6580310,2002,1360505,6580305,1220305,820505,7450505,2610505,880405,6500505,7050405,1220505
6600305,2002,2730305,6250315,2390305,2180305,2270505,7200305,6350505,6650305,1070305,2140505
6650305,2002,830010,1710310,2390305,7600405,6350505,2120305,2180305,7350035,990405,6600305
6700505,2002,1440505,170505,170305,50405,360505,1440305,2090505,710305,70505,6180505
6730305,2002,1770505,6730505,6750310,7450405,1220505,6100505,2650405,2610505,1310505,1250505
6740310,2002,6740505,1420505,860305,2150505,4490305,1280035,1140505,7650505,2140305,50405
6750310,2002,7450405,6980510,6730505,6730305,2190405,1220505,4470205,1770505,1380505,1590305
6800305,2002,7400405,7200505,10405,2520510,1380505,1870505,6980510,170505,1870020,1580505
6800310,2002,6200505,2190405,2780505,870305,1590305,6550405,1770305,2190505,400310,2460305
6830505,2002,1820505,6900510,2170305,6350505,710505,70505,710305,6030505,6650505,2390515
6900510,2002,6650505,6100505,2650505,1360305,2170305,10505,1820505,1220505,710505,1310410
6980020,2002,1100305,1770305,6500310,6200505,7050405,6550405,2190405,6500305,7500505,1270505
6980510,2002,6750310,6100505,1380505,1220505,1870505,770505,7670505,7450405,6650505,6800305
7050405,2002,6500310,6500505,7250025,1750305,6580305,6580310,1770305,2190505,820505,300305
7100510,2002,1310505,2620505,1780305,1750505,6900505,1310410,710305,2610505,2650405,250505
7150505,2002,880505,1860505,990405,990505,6350505,170305,870305,2780505,360505,2180305
7170505,2002,7550505,2140305,2270505,70013,1070305,1420505,1030405,7780505,940505,2360310
7200305,2002,6150505,2140505,1510015,30305,6350305,6600305,940505,7650505,2270505,6720505
7250025,2002,1750305,7050405,2190505,6500310,2460305,310310,6550405,2190405,1640405,1770305
7250305,2002,1330505,1280035,1740505,1870020,2520305,6220405,240505,360505,1110505,1030505
7250310,2002,1270505,1870505,2190405,6750310,1590305,2520305,6200505,4470205,4320530,240505
7350030,2002,7170505,4910550,7550505,940305,6150305,6350305,2360310,7200305,1420305,6150505
7350035,2002,7600405,1710310,1710505,820305,820505,7450505,1220305,6500505,310305,2040305
7400405,2002,6800305,7200505,1110505,1870020,170505,1380505,10405,6980510,7450405,2180505
7450405,2002,6750310,2180505,6730305,170305,6730505,770505,6980510,6100505,1620505,1770505
7500505,2002,30305,6980020,1510015,2730305,6500310,1110505,6220405,630010,1100305,6800310
7530505,2002,300505,1070505,830010,6650305,6250505,1710310,2390305,2120305,6800505,7600505
7550505,2002,2140305,7170505,1030405,1420505,2360505,940505,360325,2360310,6150305,2270505
7600405,2002,6650305,1220305,7350035,1710310,7450505,830010,1710505,820305,2610025,2390515
7650505,2002,6720505,2150505,6030505,7200305,7780505,7200505,940505,6800305,2270505,1110505
7780505,2002,6030505,2270505,940505,6720505,7650505,2090505,2150505,70013,6150505,7200305
1370605,2002,1490015,1490018,4400205,4540205,2740111,8230605,490006,350691,1630305,570505
1500505,2002,1740505,7250305,890005,6220405,4350305,240505,2520305,1740305,1970010,1980310
4790505,2002,9150705,10405,1510505,2090505,7200505,1640505,2170305,2260505,1280035,6220405
1630605,2002,1630405,1630505,1370505,1630510,8280605,1630305,970505,1650013,2010415,2810325
200505,2002,2290305,1280505,2290510,1810030,1810505,6050505,160505,1810060,1810055,610505
1140505,2002,860305,6450305,1500025,1030405,1140305,1280035,2140305,6150505,160305,50405
2090505,2002,940505,50405,360505,170505,6700505,2140505,170305,6250315,2360505,2270505
6030505,2002,7780505,6720505,7650505,7200305,6830505,2270505,2150505,940505,6150505,7200505
4690505,2002,350542,350380,350543,350540,4240505,4200205,490090,4440205,4840505,350690
6450505,2002,2390505,960505,300505,720050,1070505,50405,2200505,2360505,2090505,1030505
1620505,2002,1250505,1520505,2040505,7250505,6750310,7450405,7670505,1310410,6730305,6980510
830505,2002,1780305,2180505,1750505,6100505,6650505,770505,1220505,870505,1770505,870305
1740505,2002,2520305,7250305,240505,6220405,1500505,1280035,6180505,1270505,7250310,890005
10505,2002,2170305,2170505,2650505,1510505,6900510,1620505,10405,1360305,6800305,2040505
50505,2002,720505,6800505,2510505,2120305,2110305,1070505,1610505,250505,1710505,6600505
70505,2002,6350505,2390515,710305,830010,1860505,170505,170305,2730305,1780305,360505
90505,2002,6000505,400505,560505,2710505,260505,310505,2710305,1990505,160505,6400505
100505,2002,2200505,6400505,2710505,1990405,1980505,730505,2710305,1780505,2660305,6950505
140505,2002,1390305,1390505,140405,2660305,6550505,90310,860505,4460550,500305,670305
160505,2002,2290305,90505,6000505,2200505,2710305,400505,2710505,160320,100505,2660305
170505,2002,170305,1440505,6700505,7400405,360505,6350505,2180505,7200505,6800305,70505
230505,2002,400305,2130305,1640405,2760305,90305,1990405,1980310,400310,6400505,1590017
240505,2002,2520305,1270505,6220405,1110505,1440305,7250310,1870505,2520510,1870020,1380505
260505,2002,2070310,6400505,2070315,2660305,480505,2710505,1550310,2710305,2660505,230305
300505,2002,960505,1070505,2120305,7530505,2390505,830010,6580505,70505,2390515,1820505
310505,2002,2460505,250505,7300505,2120505,560505,6250505,6800505,1010505,1310505,400505
350505,2002,350445,350535,350485,350530,350515,350575,1630305,350074,350525,350537
350515,2002,350535,350530,350505,350445,350537,350575,350430,2740505,350525,1630305
350525,2002,350074,350445,350505,350485,350535,4810550,350430,350229,2740075,4200205
350530,2002,350535,350515,350445,350505,1490018,1630305,2740505,350537,2810330,570505
350535,2002,350530,350515,350537,350505,350445,350074,350525,350229,350485,1490018
350537,2002,350535,350515,350530,350505,350445,2740505,350074,350525,350485,570505
350540,2002,350546,490090,350690,350542,350380,4690505,350543,490065,490040,4440205
