school_id,year,african_american,asian,hispanic,white,native,male,female
350445,2001,33.4,3.2,40.0,23.2,0.2,49.5,50.5
350366,2001,34.1,2.5,52.8,9.7,0.9,46.3,53.7
350360,2001,78.4,1.9,12.7,7.1,0.0,50.0,50.0
350258,2001,31.3,2.8,53.4,12.2,0.3,48.7,51.3
350363,2001,65.1,0.7,17.3,15.7,1.1,80.2,19.8
350370,2001,86.1,0.0,9.9,2.3,1.7,54.6,45.4
350374,2001,12.4,6.4,68.9,11.2,1.1,58.1,41.9
350380,2001,62.5,1.7,22.3,12.6,1.0,50.8,49.2
4240505,2001,55.7,9.9,27.5,4.6,2.3,45.0,55.0
4810550,2001,80.1,1.6,12.6,5.0,0.7,49.2,50.8
360505,2001,3.0,1.0,1.3,94.6,0.2,49.8,50.2
360325,2001,4.3,0.9,2.3,92.2,0.2,49.2,50.8
360010,2001,4.1,0.6,1.1,94.0,0.2,49.1,50.9
380005,2001,1.0,0.5,0.0,98.5,0.0,54.5,45.5
380013,2001,0.2,1.5,0.7,97.7,0.0,53.2,46.8
390005,2001,0.3,2.5,1.4,95.6,0.3,51.4,48.6
400033,2001,3.0,3.6,1.8,91.5,0.0,52.7,47.3
400505,2001,3.0,4.7,1.6,90.3,0.4,49.8,50.2
400050,2001,3.8,6.8,2.1,87.2,0.0,55.6,44.4
400305,2001,4.6,4.6,2.4,88.4,0.0,51.8,48.2
400015,2001,0.5,2.9,0.3,95.3,1.0,48.6,51.4
400005,2001,8.2,3.0,2.7,86.1,0.0,57.4,42.6
400025,2001,0.0,5.2,1.3,93.4,0.0,49.3,50.7
400020,2001,5.4,3.0,2.4,89.2,0.0,52.1,47.9
400310,2001,1.9,3.2,1.5,92.7,0.8,51.6,48.4
410010,2001,1.1,0.7,0.0,98.2,0.0,54.7,45.3
410005,2001,2.2,1.1,1.4,95.3,0.0,55.9,44.1
6250505,2001,1.7,1.4,0.8,96.0,0.1,52.1,47.9
6250050,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6250020,2001,2.6,0.6,0.8,95.7,0.2,51.2,48.8
6250315,2001,3.0,0.9,1.1,95.0,0.0,51.8,48.2
430005,2001,0.0,0.3,1.0,98.7,0.0,53.6,46.4
9100705,2001,1.0,0.0,0.5,96.7,1.8,34.0,66.0
8100605,2001,2.6,0.7,2.9,93.0,0.7,63.1,36.9
440080,2001,58.4,5.6,12.0,24.0,0.0,75.2,24.8
440505,2001,46.9,3.4,9.8,39.3,0.5,48.3,51.7
440010,2001,34.4,1.6,9.9,52.8,1.3,52.8,47.2
440110,2001,38.6,1.2,14.4,44.3,1.5,52.7,47.3
440001,2001,32.4,1.8,36.7,28.8,0.3,50.0,50.0
440405,2001,47.6,1.3,12.0,38.8,0.3,55.3,44.7
440023,2001,48.2,2.1,12.8,35.9,0.9,48.8,51.2
440045,2001,33.6,5.5,8.1,51.0,1.8,47.6,52.4
440050,2001,32.8,0.9,4.3,60.3,1.7,57.8,42.2
440055,2001,47.6,1.7,14.2,35.2,1.3,51.7,48.3
440400,2001,37.9,0.0,8.6,51.7,1.7,84.5,15.5
440017,2001,38.9,7.6,6.5,46.0,1.1,49.6,50.4
440065,2001,38.6,6.5,8.8,45.1,0.9,54.7,45.3
440410,2001,44.5,3.6,9.9,41.1,0.9,54.1,45.9
440078,2001,50.7,1.9,9.0,37.2,1.2,53.8,46.2
440415,2001,42.6,2.5,11.5,43.0,0.4,49.0,51.0
440420,2001,39.7,5.8,11.8,42.4,0.3,50.1,49.9
450005,2001,0.7,0.3,0.7,98.0,0.3,53.7,46.3
460505,2001,10.1,15.1,3.8,70.9,0.1,51.5,48.5
460005,2001,5.0,20.4,4.3,70.1,0.2,52.0,48.0
460015,2001,11.4,12.4,5.8,70.2,0.3,49.4,50.6
460025,2001,8.6,24.8,3.9,62.7,0.0,55.3,44.7
460045,2001,9.8,11.3,9.6,69.4,0.0,49.8,50.2
460030,2001,7.4,35.4,4.3,52.4,0.4,50.9,49.1
460020,2001,9.0,16.0,6.4,68.6,0.0,47.2,52.8
460040,2001,10.6,25.0,7.4,57.1,0.0,49.1,50.9
460060,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460035,2001,11.1,14.2,7.7,66.6,0.4,52.4,47.6
480505,2001,1.1,12.0,0.5,86.3,0.1,48.6,51.4
480007,2001,1.1,9.3,0.8,88.8,0.0,51.2,48.8
480035,2001,1.1,13.9,0.5,84.6,0.0,50.5,49.5
480303,2001,2.4,8.8,0.9,87.8,0.0,53.0,47.0
480015,2001,2.2,8.6,0.4,88.8,0.0,49.8,50.2
480020,2001,1.2,7.9,0.0,90.9,0.0,53.1,46.9
490006,2001,8.1,0.7,69.6,20.5,1.1,49.5,50.5
490506,2001,39.5,6.9,15.4,37.8,0.4,51.1,48.9
490007,2001,30.2,8.8,11.9,48.1,1.0,52.2,47.8
490090,2001,50.0,2.2,23.7,23.7,0.4,54.4,45.6
490080,2001,40.5,6.6,7.1,44.2,1.6,52.9,47.1
490020,2001,30.8,9.3,7.6,51.2,1.2,48.3,51.7
490065,2001,45.1,12.9,10.9,30.9,0.2,55.2,44.8
490040,2001,33.7,10.8,14.8,40.2,0.5,49.5,50.5
